日期,日別,分店,品項,份數
2026-04-06,平日,車站店,蛋餅,42
2026-04-06,平日,車站店,飯糰,51
2026-04-06,平日,住宅店,蛋餅,51
2026-04-06,平日,住宅店,飯糰,60
2026-04-06,平日,市場店,蛋餅,47
2026-04-06,平日,市場店,飯糰,56
2026-04-07,平日,車站店,蛋餅,36
2026-04-07,平日,車站店,飯糰,45
2026-04-07,平日,住宅店,蛋餅,45
2026-04-07,平日,住宅店,飯糰,54
2026-04-07,平日,市場店,蛋餅,54
2026-04-07,平日,市場店,飯糰,63
2026-04-08,平日,車站店,蛋餅,43
2026-04-08,平日,車站店,飯糰,52
2026-04-08,平日,住宅店,蛋餅,52
2026-04-08,平日,住宅店,飯糰,61
2026-04-08,平日,市場店,蛋餅,48
2026-04-08,平日,市場店,飯糰,57
2026-04-09,平日,車站店,蛋餅,37
2026-04-09,平日,車站店,飯糰,46
2026-04-09,平日,住宅店,蛋餅,46
2026-04-09,平日,住宅店,飯糰,55
2026-04-09,平日,市場店,蛋餅,55
2026-04-09,平日,市場店,飯糰,64
2026-04-10,平日,車站店,蛋餅,44
2026-04-10,平日,車站店,飯糰,53
2026-04-10,平日,住宅店,蛋餅,53
2026-04-10,平日,住宅店,飯糰,62
2026-04-10,平日,市場店,蛋餅,49
2026-04-10,平日,市場店,飯糰,58
2026-04-11,假日,車站店,蛋餅,38
2026-04-11,假日,車站店,飯糰,47
2026-04-11,假日,住宅店,蛋餅,59
2026-04-11,假日,住宅店,飯糰,68
2026-04-11,假日,市場店,蛋餅,68
2026-04-11,假日,市場店,飯糰,77
2026-04-12,假日,車站店,蛋餅,45
2026-04-12,假日,車站店,飯糰,54
2026-04-12,假日,住宅店,蛋餅,53
2026-04-12,假日,住宅店,飯糰,62
2026-04-12,假日,市場店,蛋餅,62
2026-04-12,假日,市場店,飯糰,71
