學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
103,0001,國立政治大學,140101,教育學系,D 日,D 博士,93,0,16,30 臺北市,1 一般
103,0001,國立政治大學,140101,教育學系,D 日,M 碩士,34,0,10,30 臺北市,1 一般
103,0001,國立政治大學,140101,教育學系,D 日,B 學士,250,17,55,30 臺北市,1 一般
103,0001,國立政治大學,140203,華語(文)教學學系,D 日,D 博士,18,0,1,30 臺北市,1 一般
103,0001,國立政治大學,140203,華語(文)教學學系,D 日,M 碩士,55,0,5,30 臺北市,1 一般
103,0001,國立政治大學,140218,國文教學碩士,N 職,M 碩士,89,0,18,30 臺北市,1 一般
103,0001,國立政治大學,140219,數學教學碩士,N 職,M 碩士,5,0,14,30 臺北市,1 一般
103,0001,國立政治大學,140401,幼兒教育學系,D 日,M 碩士,39,3,8,30 臺北市,1 一般
103,0001,國立政治大學,140701,教育行政與政策學系,D 日,M 碩士,41,1,16,30 臺北市,1 一般
103,0001,國立政治大學,140709,學校行政碩士,N 職,M 碩士,83,0,22,30 臺北市,1 一般
103,0001,國立政治大學,149907,教育學院,D 日,,0,3,0,30 臺北市,1 一般
103,0001,國立政治大學,220101,臺灣文學系,D 日,D 博士,13,0,1,30 臺北市,1 一般
103,0001,國立政治大學,220101,臺灣文學系,D 日,M 碩士,38,6,12,30 臺北市,1 一般
103,0001,國立政治大學,220201,(中)國(語)文學系,D 日,D 博士,69,0,7,30 臺北市,1 一般
103,0001,國立政治大學,220201,(中)國(語)文學系,D 日,M 碩士,86,0,21,30 臺北市,1 一般
103,0001,國立政治大學,220201,(中)國(語)文學系,D 日,B 學士,365,32,92,30 臺北市,1 一般
103,0001,國立政治大學,220307,英國語文學系,D 日,D 博士,27,0,1,30 臺北市,1 一般
103,0001,國立政治大學,220307,英國語文學系,D 日,M 碩士,57,0,9,30 臺北市,1 一般
103,0001,國立政治大學,220307,英國語文學系,D 日,B 學士,315,28,68,30 臺北市,1 一般
103,0001,國立政治大學,220307,英國語文學系,N 職,M 碩士,34,0,5,30 臺北市,1 一般
