sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,42,,良好,1.5,0.27,37,23,26,6,5,6.4,0.6,0.6,85,"2026/09/09 23:00:00",0.3,8.7,25,1,121.760056,25.129168,1
汐止,新北市,48,,良好,1,0.32,13,22,36,10,20,22.6,1.6,0.4,65,"2026/09/09 23:00:00",0.3,10.9,25,1,121.64081,25.06624,2
新店,新北市,38,,良好,0.7,0.28,17,24,20,10,12,13.3,0.9,1.1,192,"2026/09/09 23:00:00",0.3,9.5,17,0,121.53778,24.977222,4
土城,新北市,37,,良好,1.3,0.27,32,33,22,8,9,9.3,0.2,0.8,163,"2026/09/09 23:00:00",0.2,8.8,22,,121.45186,24.982529,5
板橋,新北市,42,,良好,1.3,0.44,22,28,20,11,17,18.8,1.3,0.3,99,"2026/09/09 23:00:00",0.4,10.3,18,1,121.458664,25.012972,6
新莊,新北市,44,,良好,1.3,0.27,40,42,26,11,9,9.6,0.3,1.9,76,"2026/09/09 23:00:00",0.2,10.8,26,1,121.4325,25.037971,7
菜寮,新北市,38,,良好,0.7,0.33,36,38,26,10,11,12.5,0.8,2.1,111,"2026/09/09 23:00:00",0.3,9.5,22,0,121.481026,25.06895,8
林口,新北市,44,,良好,1.6,0.3,34,30,28,11,11,11.6,0,0.3,122,"2026/09/09 23:00:00",0.3,11,25,1,121.365486,25.07799,9
淡水,新北市,50,,良好,1.1,0.39,17,26,26,15,10,12.3,1.3,,,"2026/09/09 23:00:00",0.3,12.4,25,1,121.44924,25.1645,10
士林,臺北市,49,,良好,1.3,0.25,37,38,28,12,9,9.8,0.7,1.6,161,"2026/09/09 23:00:00",0.2,12.2,22,1,121.51666,25.10334,11
中山,臺北市,46,,良好,1,0.38,28,31,23,12,15,16.8,0.9,1,130,"2026/09/09 23:00:00",0.3,11.4,20,1,121.52653,25.06236,12
萬華,臺北市,43,,良好,0.9,0.34,31,32,21,8,16,17.1,0.5,1,104,"2026/09/09 23:00:00",0.3,10.7,21,1,121.50797,25.046503,13
古亭,臺北市,41,,良好,1,0.23,35,36,26,9,6,7.6,0.9,0.3,102,"2026/09/09 23:00:00",0.2,10.1,24,1,121.52956,25.020609,14
松山,臺北市,40,,良好,1,0.36,19,25,21,8,17,19.3,1.9,0.5,45,"2026/09/09 23:00:00",0.3,7.9,20,1,121.57861,25.05,15
大同,臺北市,58,細懸浮微粒,普通,1.4,1.07,15,15,35,18,28,44.7,15.9,-,-,"2026/09/09 23:00:00",1.2,14.9,33,1,121.51342,25.063314,16
桃園,桃園市,40,,良好,1.7,0.28,39,39,26,8,11,12.1,0.9,2.2,63,"2026/09/09 23:00:00",0.3,9.2,24,1,121.30501,24.99471,17
大園,桃園市,54,細懸浮微粒,普通,1.1,0.27,25,24,32,16,21,22.3,1.2,2,80,"2026/09/09 23:00:00",0.2,13.5,28,1,121.202515,25.061003,18
觀音,桃園市,53,細懸浮微粒,普通,4.8,0.26,27,31,33,15,23,25.3,1.5,4,84,"2026/09/09 23:00:00",0.2,13.2,28,2,121.08283,25.035568,19
平鎮,桃園市,42,,良好,1.7,0.24,43,43,32,10,6,7.5,0.7,3.4,94,"2026/09/09 23:00:00",0.2,7.7,25,1,121.20399,24.952785,20
龍潭,桃園市,42,,良好,0.8,0.19,45,45,22,10,5,5.3,0.1,4.1,59,"2026/09/09 23:00:00",0.2,10.5,19,0,121.21646,24.864,21
湖口,新竹縣,42,,良好,0.8,0.2,46,45,27,13,5,6,0.7,5.3,62,"2026/09/09 23:00:00",0.2,10.4,25,0,121.03887,24.900097,22
竹東,新竹縣,45,,良好,0.8,0.14,50,49,21,8,2,2.5,0,4.3,45,"2026/09/09 23:00:00",0.1,7.8,20,0,121.08896,24.740913,23
新竹,新竹市,44,,良好,1.6,0.18,49,48,22,12,4,5.1,0.7,3.5,43,"2026/09/09 23:00:00",0.2,9.4,21,1,120.97237,24.805635,24
頭份,苗栗縣,44,,良好,1.7,0.18,47,47,27,3,5,6.3,0.9,2.4,41,"2026/09/09 23:00:00",0.1,7.9,25,1,120.89869,24.696907,25
苗栗,苗栗縣,44,,良好,1.3,0.15,43,47,17,9,3,5,1.4,1.8,9,"2026/09/09 23:00:00",0.1,10.7,21,1,120.820114,24.564991,26
三義,苗栗縣,43,,良好,1.1,0.17,35,46,18,14,2,3,0.5,2.4,13,"2026/09/09 23:00:00",0.1,9.7,21,1,120.75957,24.382484,27
豐原,臺中市,43,,良好,0.9,0.2,33,46,17,11,3,4,0.2,1.3,100,"2026/09/09 23:00:00",0.1,9.2,21,0,120.74252,24.256998,28
沙鹿,臺中市,45,,良好,0.5,0.17,38,47,23,7,5,6.5,1,1.4,353,"2026/09/09 23:00:00",0.1,9.3,27,0,120.568794,24.225628,29
大里,臺中市,48,,良好,1.3,0.46,16,38,28,11,14,15.6,1.2,0.6,134,"2026/09/09 23:00:00",0.3,11.8,27,1,120.678444,24.099611,30
忠明,臺中市,39,,良好,1,0.33,23,42,14,9,12,14,1.4,0.8,307,"2026/09/09 23:00:00",0.2,8.8,19,1,120.64109,24.151958,31
西屯,臺中市,46,,良好,1.6,0.21,28,45,22,10,9,9.5,0.3,1.1,18,"2026/09/09 23:00:00",0.1,11.4,25,1,120.61692,24.162197,32
彰化,彰化縣,43,,良好,1.6,0.25,30,45,23,7,10,11.4,0.8,0.8,27,"2026/09/09 23:00:00",0.2,8.8,26,1,120.54152,24.066,33
線西,彰化縣,53,懸浮微粒,普通,0.6,0.16,40,43,19,10,4,5.2,0.5,2.7,41,"2026/09/09 23:00:00",0.3,10.5,33,2,120.46906,24.131672,34
二林,彰化縣,69,細懸浮微粒,普通,1.1,0.22,28,43,32,16,5,6.1,0.6,1.4,22,"2026/09/09 23:00:00",0.2,18.9,46,1,120.40965,23.925175,35
