申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,單價元平方公尺,車位類別,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,建築完成年月,代表建號屋齡,代表建號層次,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,電梯,車位所在樓層,備註欄,主建物面積,附屬建物面積,陽台面積
買賣,房地(土地+建物),1,1,0,3,2,1,,華廈(10層含以下有電梯),2500000,28647,,0,有,1150302,20.38,住,,,87.27,住家用,鋼筋混凝土造,六層,821209,32,三層,0,高雄市林園區一心街３號三樓,林園區,港子埔段,,有,,,65.71,0,5.48
買賣,土地,1,0,0,0,0,0,,其他,3000000,4155,,0,無,1150201,721.98,,一般農業區,農牧用地,0,,,,,,,0,山頂段240-1地號,彌陀區,山頂段,,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,2660000,4113,,0,無,1150201,646.76,,一般農業區,農牧用地,0,,,,,,,0,新本洲段516地號,岡山區,新本洲段,,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,300000,84,,0,無,1150202,3577,,山坡地保育區,農牧用地,0,,,,,,,0,瑪雅段737-1地號,那瑪夏區,瑪雅段,,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,1200000,29725,,0,無,1150201,40.37,商,,,0,,,,,,,0,賜福段696地號,茄萣區,賜福段,,無,,未登記建物；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,3500000,5086,,0,無,1150202,688.14,,山坡地保育區,農牧用地,0,,,,,,,0,金山段735地號,燕巢區,金山段,,無,,親友間買賣。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,596000,1209,,0,無,1150201,492.89,,山坡地保育區,農牧用地,0,,,,,,,0,南安老段725-5地號,田寮區,南安老段,,無,,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,0,0,0
買賣,土地,3,0,0,0,0,0,,其他,4700000,45271,,0,無,1150202,103.82,住,,,0,,,,,,,0,和蓮段418-8地號,阿蓮區,和蓮段,,無,,未登記建物；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,600000,2525,,0,無,1150202,237.67,,一般農業區,農牧用地,0,,,,,,,0,龍興段1108地號,六龜區,龍興段,,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,160000,510,,0,無,1150203,313.65,,山坡地保育區,農牧用地,0,,,,,,,0,和平段117地號,六龜區,和平段,,無,,,0,0,0
買賣,車位,0,1,1,0,0,0,,住宅大樓(11層含以上有電梯),2100000,,坡道平面,2100000,有,1150204,0,,,,22.9,,,,,6,,22.9,高雄市前鎮區啟聖街８０號二樓等９２戶之共有部分,前鎮區,,,有,地下三樓,建物坐落地號：獅甲段二小段573地號；僅車位交易；,0,0,0
買賣,房地(土地+建物),1,1,0,1,1,1,,住宅大樓(11層含以上有電梯),4400000,93122,,0,有,1150202,3.06,商,,,47.25,住家用,鋼筋混凝土造,二十一層,841019,30,二十一層,0,高雄市左營區富國路２９２號二十一樓之３,左營區,新庄段十三小段,,有,,陽台外推；,26.62,0,5.57
買賣,土地,1,0,0,0,0,0,,其他,350000,60659,,0,無,1150204,5.77,住,,,0,,,,,,,0,德松段177地號,橋頭區,德松段,,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,149000,1209,,0,無,1150202,123.22,,山坡地保育區,農牧用地,0,,,,,,,0,南安老段725-5地號,田寮區,南安老段,,無,,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,600000,1325,,0,無,1150203,452.93,,風景區,農牧用地,0,,,,,,,0,寶來段786-2地號,六龜區,寶來段,,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,700000,40769,,0,無,1150209,17.17,商,,,0,,,,,,,0,美中段310-5地號,美濃區,美中段,,無,,畸零地或有合併使用效益；,0,0,0
買賣,土地,3,0,0,0,0,0,,其他,160000,30189,,0,無,1150203,5.3,住,,,0,,,,,,,0,筆秀段464地號,橋頭區,筆秀段,,無,,,0,0,0
買賣,房地(土地+建物),2,1,0,2,1,1,,公寓(5樓含以下無電梯),5000000,80438,,0,無,1150204,21.38,都市：其他:第二種特定商業專用區,,,62.16,,加強磚造,四層,590327,56,一層,0,高雄市苓雅區林森二路１５０巷１８號,苓雅區,苓東段,,無,,,62.16,0,0
買賣,土地,1,0,0,0,0,0,,其他,7780000,121563,,0,無,1150202,64,住,,,0,,,,,,,0,鎮昌段288-58地號,前鎮區,鎮昌段,,無,,政府機關標讓售；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,5445000,75625,,0,無,1150204,72,住,,,0,,,,,,,0,龍鳳段1123地號,小港區,龍鳳段,,無,,,0,0,0
買賣,房地(土地+建物)+車位,1,1,7,3,2,2,,住宅大樓(11層含以上有電梯),23800000,75148,坡道平面,8400000,有,1150204,45,住,,,454.64,住家用,鋼筋混凝土造,十九層,1050615,10,十六層,249.71,高雄市三民區澄清路６４３號十六樓之１,三民區,澄清段二小段,,有,地下四樓,親友、員工、共有人或其他特殊關係間之交易；,120.39,0,11.75
買賣,土地,2,0,0,0,0,0,,其他,2080000,10703,,0,無,1150202,194.33,住,,,0,,,,,,,0,汕尾段1141-5地號,林園區,汕尾段,,無,,,0,0,0
買賣,房地(土地+建物),1,1,0,2,1,1,,住宅大樓(11層含以上有電梯),9800000,112851,,0,有,1150204,5.6,商,,,86.84,住家用,鋼筋混凝土,二十八層,1100205,5,二十一層,0,高雄市前金區七賢二路１４８號二十一樓,前金區,東金段,,有,,,51.77,0,4.09
買賣,車位,3,1,1,0,0,0,,住宅大樓(11層含以上有電梯),1700000,,坡道平面,1700000,有,1150202,2.4,都市：其他:第五種商業區,,,38.88,停車場,鋼筋混凝土造,十二層,680808,46,地下層,38.88,高雄市新興區五福一路１４２號地下室,新興區,新興段一小段,,有,地下一樓,僅車位交易；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,330682,51912,,0,無,1150204,6.37,,鄉村區,乙種建築用地,0,,,,,,,0,芋林段995-14地號,橋頭區,芋林段,,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,372640,40815,,0,無,1150205,9.13,都市：其他:道路用地,,,0,,,,,,,0,黃厝段427-1地號,大寮區,黃厝段,,無,,包含公共設施保留地用地；協議價購；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,93160,40860,,0,無,1150205,2.28,都市：其他:道路用地,,,0,,,,,,,0,黃厝段427-1地號,大寮區,黃厝段,,無,,包含公共設施保留地用地；協議價購；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,93160,40860,,0,無,1150205,2.28,都市：其他:道路用地,,,0,,,,,,,0,黃厝段427-1地號,大寮區,黃厝段,,無,,包含公共設施保留地用地；協議價購；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,23290,0,,0,無,1150205,0.57,都市：其他:道路用地,,,0,,,,,,,0,黃厝段427-1地號,大寮區,黃厝段,,無,,包含公共設施保留地用地；協議價購；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,279480,40800,,0,無,1150205,6.85,都市：其他:道路用地,,,0,,,,,,,0,黃厝段427-1地號,大寮區,黃厝段,,無,,包含公共設施保留地用地；協議價購；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,93160,40860,,0,無,1150205,2.28,都市：其他:道路用地,,,0,,,,,,,0,黃厝段427-1地號,大寮區,黃厝段,,無,,包含公共設施保留地用地；協議價購；,0,0,0
