申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,"單價
元平方公尺",車位類別,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,建築完成年月,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,電梯,車位所在樓層,備註欄,主建物面積,附屬建物面積,陽台面積
買賣,房地(土地+建物),1,1,0,3,3,2,有,透天厝,3500000,46065,,0,無,1150601,53,住,,,75.98,見其它登記事項,加強磚造,二層,580401,57,全,0,0,高雄市左營區店仔頂路６３巷１８弄２０號,左營區,左南段,22980000,無,,夾層；,75.98,0,0
買賣,土地,1,0,0,0,0,0,無,其他,2850000,3677,,0,無,1150602,775.15,,山坡地保育區,農牧用地,0,,,,,,,0,0,煙波段1494地號,燕巢區,煙波段,14940000,無,,,0,0,0
買賣,土地,5,0,0,0,0,0,無,其他,300000,3763,,0,無,1150603,79.72,都市：其他:住宅區,,,0,,,,,,,0,0,瀰濃段584地號,美濃區,瀰濃段,5840000,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,土地,2,0,0,0,0,0,無,其他,3250000,559,,0,無,1150601,5817.54,,山坡地保育區,農牧用地,0,,,,,,,0,0,羅漢山段124-1地號,六龜區,羅漢山段,1240001,無,,,0,0,0
買賣,土地,10,0,0,0,0,0,無,其他,84000,5699,,0,無,1150601,14.74,商,,,0,,,,,,,0,0,永平段759地號,美濃區,永平段,7590000,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,800000,26195,,0,無,1150601,30.54,住,,,0,,,,,,,0,0,龍潭段767地號,林園區,龍潭段,7670000,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,1360000,75556,,0,無,1150504,18,住,,,0,,,,,,,0,0,鳳林段549地號,小港區,鳳林段,5490000,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,2495000,75606,,0,無,1150504,33,住,,,0,,,,,,,0,0,鳳林段555地號,小港區,鳳林段,5550000,無,,,0,0,0
買賣,房地(土地+建物)+車位,2,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),28340000,97385,坡道平面,0,有,1150501,28.68,住,,,291.01,住家用,鋼筋混凝土造,十五層,970417,18,十層,0,52.89,高雄市左營區新莊一路４０５號十樓,左營區,新庄段五小段,7170000,有,地下三樓,,136.2,4.13,17.02
買賣,土地,1,0,0,0,0,0,無,其他,913500,43500,,0,無,1150504,21,住,,,0,,,,,,,0,0,道爺廍段1074-24地號,鳳山區,道爺廍段,10740024,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,80000,9335,,0,無,1150504,8.57,,鄉村區,乙種建築用地,0,,,,,,,0,0,中正段491地號,旗山區,中正段,4910000,無,,,0,0,0
買賣,房地(土地+建物),2,1,0,3,1,1,有,公寓(5樓含以下無電梯),1200000,32172,,0,無,1150507,11.2,住,,,37.3,住家用,鋼筋混凝土造,五層,701021,45,五層,0,0,高雄市小港區店中路４８巷２之４號,小港區,鳳宮段,1380000,無,,親友、員工、共有人或其他特殊關係間之交易；,37.3,0,0
買賣,房地(土地+建物),1,1,0,3,2,1,有,公寓(5樓含以下無電梯),3500000,43690,,0,無,1150501,28.5,住,,,80.11,住家用,鋼筋混凝土造,五層,680829,47,四層,0,0,高雄市苓雅區輔仁路１７７巷２７之３號,苓雅區,五塊厝段,15570000,無,,親友、員工、共有人或其他特殊關係間之交易；,80.11,0,0
買賣,房地(土地+建物),1,1,0,3,2,2,有,住宅大樓(11層含以上有電梯),4950000,56436,,0,有,1150505,10.16,商,,,87.71,,鋼筋混凝土造,十二層,730629,42,十一層,0,0,高雄市三民區九如二路１７９之２號十一樓,三民區,大港段二小段,15060000,有,,,71.63,0,16.08
買賣,土地,1,0,0,0,0,0,無,其他,8863272,14136,,0,無,1150505,627,都市：其他:道路用地,,,0,,,,,,,0,0,文化段106地號,岡山區,文化段,1060000,無,,包含公共設施保留地用地；,0,0,0
買賣,土地,8,0,0,0,0,0,無,其他,4761300,31261,,0,無,1150503,152.31,農,,,0,,,,,,,0,0,翁公園段3352-2地號,大寮區,翁公園段,33520002,無,,未保存登記房屋不計價住宅區105000元/坪農業區40000元/坪未登記建物；,0,0,0
買賣,土地,2,0,0,0,0,0,無,其他,1778700,12100,,0,無,1150503,147,農,,,0,,,,,,,0,0,翁公園段3351地號,大寮區,翁公園段,33510000,無,,,0,0,0
買賣,房地(土地+建物),1,1,0,0,0,0,無,住宅大樓(11層含以上有電梯),300000,24430,,0,有,1150504,1.5,,,,12.29,其他,鋼筋混凝土造,十七層,770627,38,一層,0,0,高雄市苓雅區福建街３１５號Ｔ２１,苓雅區,林德官段一小段,28690000,有,,,5.33,0,0
買賣,房地(土地+建物)+車位,2,1,1,2,1,1,有,住宅大樓(11層含以上有電梯),9250000,103007,坡道機械,0,有,1150501,7.94,都市：其他:第二種特定商業專用區,,,89.8,住家用,鋼筋混凝土,二十二層,1100825,5,十七層,0,12.38,高雄市苓雅區三多二路９號十七樓之８,苓雅區,福東段,5200001,有,地下三樓,,43.28,3.58,2.8
買賣,房地(土地+建物),1,1,0,2,2,1,有,住宅大樓(11層含以上有電梯),8400000,105329,,0,有,1150502,5.84,商,,,79.75,住家用,鋼筋混凝土造,十五層,960604,19,十層,0,0,高雄市三民區民族巷１２之３號十樓,三民區,建民段,3080000,有,,,52.54,1.42,3.69
買賣,土地,1,0,0,0,0,0,無,其他,2852000,13912,,0,無,1150506,205,,山坡地保育區,農牧用地,0,,,,,,,0,0,深水段3地號,燕巢區,深水段,30000,無,,持分買賣。,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,1001250,13609,,0,無,1150508,73.57,,鄉村區,乙種建築用地,0,,,,,,,0,0,蚵寮段731地號,梓官區,蚵寮段,7310000,無,,畸零地或有合併使用效益；,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,2000000,1837,,0,無,1150506,1088.6,,一般農業區,農牧用地,0,,,,,,,0,0,保安段50地號,永安區,保安段,500000,無,,親友、員工、共有人或其他特殊關係間之交易；農作物；,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,1550000,26441,,0,無,1150505,58.62,住,,,0,,,,,,,0,0,土角厝段1026地號,大樹區,土角厝段,10260000,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,3000000,75000,,0,無,1150501,40,住,,,0,,,,,,,0,0,新庄子段230-306地號,鳳山區,新庄子段,2300306,無,,未登記建物；畸零地或有合併使用效益；,0,0,0
買賣,房地(土地+建物),1,1,0,4,3,2,有,透天厝,2000000,38551,,0,無,1150501,42.42,住,,,51.88,住商用,加強磚造,二層,710713,44,全,0,0,高雄市旗山區旗南一路２１８之１５巷１號,旗山區,頭林段,4930000,無,,親友、員工、共有人或其他特殊關係間之交易；,51.88,0,0
買賣,房地(土地+建物),1,1,0,1,1,1,有,透天厝,800000,17778,,0,無,1150508,94.17,,鄉村區,乙種建築用地,45,住家用,加強磚造,一層,720427,43,全,0,0,高雄市旗山區中洲路３８８號,旗山區,南溪洲段,9630000,無,,含土地增值稅或其他稅費1392元；親友、員工、共有人或其他特殊關係間之交易；其他增建；,45,0,0
買賣,房地(土地+建物),1,1,0,1,1,1,有,住宅大樓(11層含以上有電梯),1250000,37125,,0,有,1150503,4.83,住,,,33.67,住家用,鋼筋混凝土造,十二層,830718,32,八層,0,0,高雄市湖內區民生街１３６號八樓之七,湖內區,民生段,4420000,有,,,18.83,0,5.04
買賣,土地,1,0,0,0,0,0,無,其他,720000,358209,,0,無,1150504,2.01,住,,,0,,,,,,,0,0,龍華段二小段855-2地號,鼓山區,龍華段二小段,8550002,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,房地(土地+建物),1,1,0,4,2,3,有,透天厝,5000000,24572,,0,無,1150506,91.32,住,,,203.48,住商用,鋼筋混凝土造,四層,890628,26,全,0,0,高雄市小港區松華路４８５巷３號,小港區,松華段,30004,無,,親友、員工、共有人或其他特殊關係間之交易；,180.31,0,23.17
買賣,房地(土地+建物),1,1,0,4,2,3,有,透天厝,3809568,20082,,0,無,1150504,88.79,住,,,189.7,住家用,鋼筋混凝土造,四層,880119,27,全,0,0,高雄市小港區松達街６１巷９號,小港區,松華段,130032,無,,親友、員工、共有人或其他特殊關係間之交易；,167.28,0,22.42
買賣,房地(土地+建物),2,1,0,1,1,1,有,住宅大樓(11層含以上有電梯),2580000,79311,,0,有,1150503,3.5,都市：其他:第四種商業區,,,32.53,住家用,鋼筋混凝土造,十二層,710226,44,二層,0,0,高雄市三民區忠孝一路４７３巷７號二樓之３,三民區,大港段六小段,6410000,有,,含裝潢費；含傢俱設備費；,22.14,0,4.1
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),12100000,91321,坡道平面,0,有,1150510,13.55,住,,,132.5,住家用,鋼筋混凝土,十五層,1041112,10,三層,0,17.82,高雄市楠梓區學專路８０２號三樓之５,楠梓區,後勁段四小段,70000,有,地下三樓,,62.34,0,12.79
買賣,土地,1,0,0,0,0,0,無,其他,1800000,41379,,0,無,1150511,43.5,農,,,0,,,,,,,0,0,高楠段61地號,楠梓區,高楠段,610000,無,,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,0,0,0
買賣,房地(土地+建物),2,1,0,1,1,1,有,住宅大樓(11層含以上有電梯),2320000,97602,,0,有,1150504,3.95,都市：其他:第二種特定商業專用區,,,23.77,辦公用,鋼筋混凝土造,十一層,950626,20,七層,0,0,高雄市楠梓區德惠路７０巷１９號七樓之１１,楠梓區,和平段五小段,310000,有,,夾層、另附一格機車車位。,11.68,0.67,1.56
買賣,土地,1,0,0,0,0,0,無,其他,4763013,27225,,0,無,1150508,174.95,,鄉村區,乙種建築用地,0,,,,,,,0,0,南角宿段361-4地號,燕巢區,南角宿段,3610004,無,,有合併使用效益之土地.,0,0,0
買賣,建物,0,1,0,1,2,1,有,透天厝,200000,4464,,0,無,1150507,0,,,,44.8,住家用,加強磚造,一層,700720,45,全,0,0,高雄市旗山區中洲路６０之１號,旗山區,,,無,,建物坐落地號：北溪洲段496地號；親友、員工、共有人或其他特殊關係間之交易；其他增建；,44.8,0,0
買賣,土地,1,0,0,0,0,0,無,其他,50000,3086,,0,無,1150511,16.2,農,,,0,,,,,,,0,0,文忠段123地號,湖內區,文忠段,1230000,無,,,0,0,0
買賣,房地(土地+建物),1,1,0,3,2,2,有,透天厝,3000000,35562,,0,無,1150503,65,住,,,84.36,住商用,加強磚造,二層,630916,52,全,0,0,高雄市小港區桂陽路１７５巷２弄４２號,小港區,桂林段,4070000,無,,頂樓加蓋；,84.36,0,0
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),13960000,99162,坡道平面,0,有,1150511,15.98,住,,,140.78,住家用,鋼筋混凝土,十五層,1141229,,十一層,0,30.11,高雄市楠梓區學專路５６７號十一樓,楠梓區,後勁段二小段,280000,有,地下二樓,,61.03,0,8.96
買賣,土地,2,0,0,0,0,0,無,其他,3750000,18265,,0,無,1150505,205.31,農,,,0,,,,,,,0,0,瓊西段42地號,燕巢區,瓊西段,420000,無,,二等親買賣。共有人間持分買賣。親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,5775000,24200,,0,無,1150505,238.64,,鄉村區,乙種建築用地,0,,,,,,,0,0,興山段530地號,大樹區,興山段,5300000,無,,,0,0,0
買賣,土地,10,0,0,0,0,0,無,其他,103183,4404,,0,無,1150504,23.43,,,,0,,,,,,,0,0,三爺段3-1地號,路竹區,三爺段,30001,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,15480400,5360,,0,無,1150507,2888,,特定農業區,農牧用地,0,,,,,,,0,0,新園段3408-1地號,路竹區,新園段,34080001,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,無,其他,17290000,59918,,0,無,1150511,288.56,住,,,0,,,,,,,0,0,琉球段577-13地號,大寮區,琉球段,5770013,無,,,0,0,0
