Seq,序號,類別,星等,旅宿名稱,縣市,鄉鎮,地址,電話,傳真,房間數,電子郵件,網址,郵遞區號,經度Lng,緯度Lat,資料序號Seq
1,1,國際觀光旅館,五星級,漢來大飯店,高雄市,前金區,高雄市前金區成功一路266號1樓、2樓、10-13樓、15-19樓、22-42樓,07-2161766,07-2161966,540,service@grand-hilai.com,http://www.grand-hilai.com,,120.295946,22.619421,1
2,2,國際觀光旅館,,高雄萬豪酒店,高雄市,鼓山區,高雄市鼓山區龍德新路222號,07-5599111,07-5588566,700,info@khhmarriott.com,https://www.marriott.com/hotels/travel/khhmc-kaohsiung-marriott-hotel/,,120.306288,22.654565,2
3,3,一般觀光旅館,,福容大飯店 高雄,高雄市,鹽埕區,高雄市鹽埕區高雄市鹽埕區五福四路45號,07-5511188,07-5211166,250,rsvn_kh@fullon-hotels.com.tw,http://www.fullon-hotels.com.tw/kh/,,120.287711,22.621363,3
4,4,國際觀光旅館,五星級,寒軒國際大飯店,高雄市,苓雅區,高雄市苓雅區四維三路33號,07-332,07-336,311,finance@hanhsien.com.tw,http://www.han-hsien.com.tw,,120.310878,22.619163,4
5,5,國際觀光旅館,五星級,高雄福華大飯店,高雄市,新興區,高雄市新興區七賢一路311號,07-2362323,07-2358383,271,jerry-ks@howard-hotels.com.tw,http://kaohsiung.howard-hotels.com.tw/,,120.30819,22.634004,5
6,6,國際觀光旅館,,高雄圓山大飯店,高雄市,鳥松區,高雄市鳥松區圓山路2號,07-3706007,07-3704889,107,kh@grand-hotel.org,http://www.grand-hotel.org,,120.346628,22.653149,6
7,7,一般觀光旅館,,晶英國際行館,高雄市,前鎮區,高雄市前鎮區前鎮區中山二路199號,07-9730189,-,147,info@silks-club.com,http://www.silks-club.com/,,120.305789,22.611114,7
8,8,國際觀光旅館,,麗尊大酒店,高雄市,苓雅區,高雄市苓雅區五福一路105號,07-2295000,07-2262085,188,resv@thelees.com.tw,http://www.thelees.com.tw/,,120.313795,22.627124,8
9,9,國際觀光旅館,五星級,義大皇家酒店,高雄市,大樹區,高雄市大樹區三和村學城路1段153號,07-6568111,07-6568008,656,info@edaroyal.com.tw,http://www.edaroyal.com.tw,,120.402085,22.730294,9
10,10,國際觀光旅館,,承攜行旅 高雄六合館,高雄市,前金區,高雄市前金區六合二路279號,07-2411022,07-2419991,269,,https://guidehotel.com.tw/hotel/%E6%89%BF%E6%94%9C%E8%A1%8C%E6%97%85-%E9%AB%98%E9%9B%84%E5%85%AD%E5%90%88%E9%A4%A8/,,120.289993,22.629037,10
11,11,星級旅館,二星,三華大飯店,高雄市,新興區,800高雄市新興區六合一路92號3-10樓,07-2392222,07-2397899,125,sanhuahotel@gmail.com,,800,120.308424,22.63267,11
