可停放車位數,站點名稱,站點地址,經度,緯度,大型站點
99,YouBike2.0_捷運公館站(2號出口),捷運公館站(2號出口)外側,121.53438,25.01491,是
87,YouBike2.0_第二學生活動中心,羅斯福路四段107號(西南側),121.53661,25.01244,是
97,YouBike2.0_臺灣科技大學側門,基隆路四段73巷與基隆路口,121.53973,25.01295,是
99,YouBike2.0_臺灣科技大學後門,基隆路四段41巷68弄臺科帆船大樓旁,121.54165,25.01182,是
76,YouBike2.0_臺北市芳和實驗中學,臥龍街170號(前),121.55013,25.0189,是
99,YouBike2.0_臺北市立圖書館(總館),建國南路二段/建國南路二段151巷(橋下空間),121.5379,25.02895,是
70,YouBike2.0_龍門廣場,敦化南路一段與敦化南路一段236巷口,121.54825,25.04092,是
99,YouBike2.0_捷運公館站(3號出口),捷運公館站(3號出口)西側,121.53374,25.01551,是
76,YouBike2.0_臺大資訊大樓,辛亥路二段(臺大外語學院外),121.54153,25.02101,是
72,YouBike2.0_捷運科技大樓站(2號出口),復興南路二段224號,121.54328,25.02592,是
81,YouBike2.0_捷運圓山站(1號出口),捷運圓山站(1號出口)東側,121.52024,25.07133,是
86,YouBike2.0_捷運北門站(3號出口),塔城街與鄭州路口西南側,121.5104,25.04991,是
77,YouBike2.0_陽明高中,中正路510號(前),121.51706,25.09164,是
70,YouBike2.0_捷運劍潭站(1號出口),捷運劍潭站(1號出口)北側,121.52531,25.08577,是
87,YouBike2.0_捷運景美站(2號出口),景文街1號(對面),121.54124,24.99366,是
84,YouBike2.0_師大公館校區學二舍,臺灣師範大學學二舍西側人行道,121.53419,25.00825,是
74,YouBike2.0_濟南紹興路口,濟南紹興路口東南側,121.52459,25.04193,是
99,YouBike2.0_臺北市立大學(博愛校區),愛國西路1號(前),121.51327,25.03545,是
98,YouBike2.0_市民金山路口,金山市民大道口南側,121.53068,25.0459,是
75,YouBike2.0_捷運松江南京站(7號出口),松江路119號前,121.5332,25.05246,是
79,YouBike2.0_捷運中山國小站(2號出口),捷運中山國小站(2號出口)後方,121.52705,25.06246,是
80,YouBike2.0_建國農安街口,建國北路/農安街口(建國橋下),121.53678,25.06503,是
76,YouBike2.0_麗山國小,內湖路一段411巷19弄9號對側,121.57158,25.0826,是
73,YouBike2.0_南京東路六段368巷,南京東路六段382號西南側,121.58707,25.05827,是
99,YouBike2.0_捷運關渡站(1號出口),大度路三段270巷/立功街55巷(西南側),121.46712,25.12397,是
89,YouBike2.0_北投運動中心,石牌路一段39巷100號(旁),121.50962,25.11666,是
99,YouBike2.0_關渡碼頭,關渡碼頭東南側,121.46228,25.12066,是
73,YouBike2.0_光明路266號前,光明路270號,121.51002,25.13661,是
85,YouBike2.0_中崙高中,八德路四段91巷9號(對面),121.56087,25.04878,是
84,YouBike2.0_民權運動公園,民權東路四段/新中街口(西南側),121.56019,25.062,是
71,YouBike2.0_臺北田徑場,敦化北路/八德路三段(東北側),121.54941,25.04951,是
73,YouBike2.0_捷運南港展覽館站(5號出口),研究院路一段1號(5號出口),121.61669,25.05469,是
70,YouBike2.0_捷運南港軟體園區(2號出口),經貿二路183號(2號出口),121.61677,25.05933,是
79,YouBike2.0_六張犁社會住宅1區,信安街50號(對面),121.55841,25.02698,是
90,YouBike2.0_信義廣場(台北101),松智路/信義路(東北側),121.5662,25.03306,是
70,YouBike2.0_松山車站,松山路11號南側,121.57841,25.0489,是
74,YouBike2.0_松仁路95巷口,松仁路/松仁路95巷(東南側),121.56866,25.03656,是
92,YouBike2.0_捷運市政府站(3號出口),忠孝東路/松仁路(東南側),121.56789,25.04084,是
94,YouBike2.0_開封西寧路口,西寧南路12號(對面),121.50717,25.04662,是
99,YouBike2.0_西本願寺廣場,中華路一段164號(前),121.50769,25.04099,是
74,YouBike2.0_老松國小,康定路238號(對面),121.50177,25.03792,是
78,YouBike2.0_萬華火車站,艋舺大道83號(前),121.50322,25.03364,是
92,YouBike2.0_臺大卓越研究大樓,臺大水源舍區C南側,121.52917,25.01466,是
99,YouBike2.0_臺大博雅館西側,臺大博雅館西側,121.536,25.0189,是
73,YouBike2.0_臺大總圖書館西南側,臺大圖書館西南側,121.54031,25.0169,是
93,YouBike2.0_臺大明達館北側(員工宿舍),明達館北側前空地,121.54469,25.01816,是
99,YouBike2.0_臺大水源舍區C棟,臺大水源舍區C棟西側,121.52892,25.01547,是
