學校名稱,科系名稱,就讀類型,等級別,學生數,教師數,縣市,大型科系
國立政治大學,教育學系,D 日,D 博士,93.0,0,30 臺北市,否
國立政治大學,教育學系,D 日,M 碩士,34.0,0,30 臺北市,否
國立政治大學,教育學系,D 日,B 學士,250.0,17,30 臺北市,否
國立政治大學,華語(文)教學學系,D 日,D 博士,18.0,0,30 臺北市,否
國立政治大學,華語(文)教學學系,D 日,M 碩士,55.0,0,30 臺北市,否
國立政治大學,國文教學碩士,N 職,M 碩士,89.0,0,30 臺北市,否
國立政治大學,數學教學碩士,N 職,M 碩士,5.0,0,30 臺北市,否
國立政治大學,幼兒教育學系,D 日,M 碩士,39.0,3,30 臺北市,否
國立政治大學,教育行政與政策學系,D 日,M 碩士,41.0,1,30 臺北市,否
國立政治大學,學校行政碩士,N 職,M 碩士,83.0,0,30 臺北市,否
國立政治大學,教育學院,D 日,,0.0,3,30 臺北市,否
國立政治大學,臺灣文學系,D 日,D 博士,13.0,0,30 臺北市,否
國立政治大學,臺灣文學系,D 日,M 碩士,38.0,6,30 臺北市,否
國立政治大學,(中)國(語)文學系,D 日,D 博士,69.0,0,30 臺北市,否
國立政治大學,(中)國(語)文學系,D 日,M 碩士,86.0,0,30 臺北市,否
國立政治大學,(中)國(語)文學系,D 日,B 學士,365.0,32,30 臺北市,否
國立政治大學,英國語文學系,D 日,D 博士,27.0,0,30 臺北市,否
國立政治大學,英國語文學系,D 日,M 碩士,57.0,0,30 臺北市,否
國立政治大學,英國語文學系,D 日,B 學士,315.0,28,30 臺北市,否
國立政治大學,英國語文學系,N 職,M 碩士,34.0,0,30 臺北市,否
國立政治大學,日本語文學系,D 日,M 碩士,21.0,0,30 臺北市,否
國立政治大學,日本語文學系,D 日,B 學士,186.0,11,30 臺北市,否
國立政治大學,阿拉伯語文學系,D 日,B 學士,156.0,7,30 臺北市,否
國立政治大學,韓國語文學系,D 日,M 碩士,15.0,0,30 臺北市,否
國立政治大學,韓國語文學系,D 日,B 學士,167.0,9,30 臺北市,否
國立政治大學,土耳其語文學系,D 日,B 學士,133.0,7,30 臺北市,否
國立政治大學,歐洲語文學系,D 日,B 學士,303.0,9,30 臺北市,否
國立政治大學,歐洲語文學系,N 職,M 碩士,4.0,0,30 臺北市,否
國立政治大學,斯拉夫語文學系,D 日,M 碩士,18.0,0,30 臺北市,否
國立政治大學,斯拉夫語文學系,D 日,B 學士,225.0,19,30 臺北市,否
國立政治大學,語言學研究所,D 日,D 博士,8.0,0,30 臺北市,否
國立政治大學,語言學研究所,D 日,M 碩士,39.0,6,30 臺北市,否
國立政治大學,宗教學系,D 日,D 博士,29.0,0,30 臺北市,否
國立政治大學,宗教學系,D 日,M 碩士,39.0,8,30 臺北市,否
國立政治大學,(歷)史學系,D 日,D 博士,36.0,0,30 臺北市,否
國立政治大學,(歷)史學系,D 日,M 碩士,52.0,0,30 臺北市,否
國立政治大學,(歷)史學系,D 日,B 學士,196.0,18,30 臺北市,否
國立政治大學,臺灣(歷)史研究所,D 日,D 博士,21.0,0,30 臺北市,否
國立政治大學,臺灣(歷)史研究所,D 日,M 碩士,57.0,8,30 臺北市,否
國立政治大學,哲學系,D 日,D 博士,32.0,0,30 臺北市,否
國立政治大學,哲學系,D 日,M 碩士,38.0,0,30 臺北市,否
國立政治大學,哲學系,D 日,B 學士,184.0,15,30 臺北市,否
國立政治大學,經濟學系,D 日,D 博士,20.0,0,30 臺北市,否
國立政治大學,經濟學系,D 日,M 碩士,78.0,0,30 臺北市,否
國立政治大學,經濟學系,D 日,B 學士,430.0,21,30 臺北市,否
國立政治大學,應用經濟與社會發展英語學位學程,D 日,M 碩士,8.0,0,30 臺北市,否
國立政治大學,政治學系,D 日,D 博士,31.0,0,30 臺北市,否
國立政治大學,政治學系,D 日,M 碩士,73.0,0,30 臺北市,否
國立政治大學,政治學系,D 日,B 學士,207.0,16,30 臺北市,否
國立政治大學,國家安全與大陸研究碩士,N 職,M 碩士,61.0,0,30 臺北市,否
國立政治大學,社會學系,D 日,D 博士,19.0,0,30 臺北市,否
國立政治大學,社會學系,D 日,M 碩士,49.0,0,30 臺北市,否
國立政治大學,社會學系,D 日,B 學士,211.0,12,30 臺北市,否
國立政治大學,民族(文化)學系,D 日,D 博士,28.0,0,30 臺北市,否
國立政治大學,民族(文化)學系,D 日,M 碩士,34.0,0,30 臺北市,否
國立政治大學,民族(文化)學系,D 日,B 學士,165.0,11,30 臺北市,否
國立政治大學,(應用)心理學系,D 日,D 博士,18.0,0,30 臺北市,否
國立政治大學,(應用)心理學系,D 日,M 碩士,64.0,0,30 臺北市,否
國立政治大學,(應用)心理學系,D 日,B 學士,214.0,18,30 臺北市,否
國立政治大學,輔導與諮商學系,D 日,M 碩士,25.0,0,30 臺北市,否
國立政治大學,東亞學系,D 日,D 博士,35.0,0,30 臺北市,否
國立政治大學,東亞學系,D 日,M 碩士,74.0,2,30 臺北市,否
國立政治大學,日本研究所,D 日,M 碩士,32.0,0,30 臺北市,否
國立政治大學,俄羅斯研究所,D 日,M 碩士,36.0,3,30 臺北市,否
國立政治大學,亞太研究英語學位學程,D 日,D 博士,47.0,0,30 臺北市,否
國立政治大學,亞太研究英語學位學程,D 日,M 碩士,113.0,0,30 臺北市,否
國立政治大學,公共行政學系,D 日,D 博士,23.0,0,30 臺北市,否
國立政治大學,公共行政學系,D 日,M 碩士,119.0,0,30 臺北市,否
國立政治大學,公共行政學系,D 日,B 學士,182.0,14,30 臺北市,否
國立政治大學,行政管理(暨政策)學系,N 職,M 碩士,235.0,0,30 臺北市,否
國立政治大學,地政學系,D 日,D 博士,18.0,0,30 臺北市,否
國立政治大學,地政學系,D 日,M 碩士,82.0,0,30 臺北市,否
國立政治大學,地政學系,D 日,B 學士,506.0,23,30 臺北市,是
國立政治大學,地政學系,N 職,M 碩士,96.0,0,30 臺北市,否
國立政治大學,外交學系,D 日,D 博士,21.0,0,30 臺北市,否
國立政治大學,外交學系,D 日,M 碩士,85.0,0,30 臺北市,否
國立政治大學,外交學系,D 日,B 學士,287.0,13,30 臺北市,否
國立政治大學,外交學系,N 職,M 碩士,63.0,0,30 臺北市,否
國立政治大學,國際研究英語學位學程,D 日,M 碩士,33.0,0,30 臺北市,否
國立政治大學,國際事務學院(不分系),D 日,,0.0,5,30 臺北市,否
國立政治大學,國家發展(與兩岸關係)研究所,D 日,D 博士,28.0,0,30 臺北市,否
