縣市,測站,AQI,PM2.5,空氣品質狀態,是否需要注意
基隆市,基隆,42,6,良好,False
新北市,汐止,48,10,良好,False
新北市,新店,38,10,良好,False
新北市,土城,37,8,良好,False
新北市,板橋,42,11,良好,False
新北市,新莊,44,11,良好,False
新北市,菜寮,38,10,良好,False
新北市,林口,44,11,良好,False
新北市,淡水,50,15,良好,False
臺北市,士林,49,12,良好,False
臺北市,中山,46,12,良好,False
臺北市,萬華,43,8,良好,False
臺北市,古亭,41,9,良好,False
臺北市,松山,40,8,良好,False
臺北市,大同,58,18,普通,False
桃園市,桃園,40,8,良好,False
桃園市,大園,54,16,普通,False
桃園市,觀音,53,15,普通,False
桃園市,平鎮,42,10,良好,False
桃園市,龍潭,42,10,良好,False
新竹縣,湖口,42,13,良好,False
新竹縣,竹東,45,8,良好,False
新竹市,新竹,44,12,良好,False
苗栗縣,頭份,44,3,良好,False
苗栗縣,苗栗,44,9,良好,False
苗栗縣,三義,43,14,良好,False
臺中市,豐原,43,11,良好,False
臺中市,沙鹿,45,7,良好,False
臺中市,大里,48,11,良好,False
臺中市,忠明,39,9,良好,False
臺中市,西屯,46,10,良好,False
彰化縣,彰化,43,7,良好,False
彰化縣,線西,53,10,普通,False
彰化縣,二林,69,16,普通,False
南投縣,南投,58,17,普通,False
雲林縣,斗六,54,16,普通,False
雲林縣,崙背,55,15,普通,False
嘉義縣,新港,59,16,普通,False
嘉義縣,朴子,53,9,普通,False
雲林縣,臺西,50,12,良好,False
嘉義市,嘉義,62,13,普通,False
臺南市,新營,55,9,普通,False
臺南市,善化,48,11,良好,False
臺南市,安南,54,16,普通,False
臺南市,臺南,57,12,普通,False
高雄市,美濃,50,9,良好,False
高雄市,橋頭,57,21,普通,False
高雄市,仁武,54,19,普通,False
高雄市,鳳山,64,21,普通,False
高雄市,大寮,61,18,普通,False
高雄市,林園,71,15,普通,True
高雄市,楠梓,51,15,普通,False
高雄市,左營,58,17,普通,False
高雄市,前金,54,15,普通,False
高雄市,前鎮,54,17,普通,False
高雄市,小港,54,14,普通,False
屏東縣,屏東,58,14,普通,False
屏東縣,潮州,58,13,普通,False
屏東縣,恆春,44,8,良好,False
臺東縣,臺東,38,7,良好,False
花蓮縣,花蓮,37,10,良好,False
臺北市,陽明,48,9,良好,False
宜蘭縣,宜蘭,45,10,良好,False
宜蘭縣,冬山,37,8,良好,False
新北市,三重,0,10,普通,False
桃園市,中壢,48,12,良好,False
南投縣,竹山,64,14,普通,False
新北市,永和,47,11,良好,False
高雄市,復興,51,20,普通,False
南投縣,埔里,69,20,普通,False
連江縣,馬祖,80,11,普通,True
金門縣,金門,69,17,普通,False
澎湖縣,馬公,54,8,普通,False
臺東縣,關山,38,6,良好,False
雲林縣,麥寮,55,15,普通,False
新北市,富貴角,67,10,普通,False
彰化縣,大城,52,14,普通,False
臺中市,臺灣大道,46,13,良好,False
彰化縣,員林,47,9,良好,False
臺南市,林森,57,12,普通,False
南投縣,南投（鹿谷）,97,18,普通,True
屏東縣,屏東（琉球）,51,10,普通,False
新北市,新北（樹林）,47,10,良好,False
屏東縣,屏東（枋山）,44,7,良好,False
