學校名稱,科系名稱,學生數,教師數,縣市名稱
國立政治大學,(數位)圖書資訊學系,49,0,30 臺北市
國立政治大學,圖書資訊與檔案學研究所,12,0,30 臺北市
國立政治大學,圖書資訊與檔案學研究所,39,7,30 臺北市
國立政治大學,會計(與)(資訊)(科技)(系統)學系,19,0,30 臺北市
國立政治大學,會計(與)(資訊)(科技)(系統)學系,133,0,30 臺北市
國立政治大學,會計(與)(資訊)(科技)(系統)學系,444,19,30 臺北市
國立政治大學,統計(科學)(資訊)學系,3,0,30 臺北市
國立政治大學,統計(科學)(資訊)學系,55,0,30 臺北市
國立政治大學,統計(科學)(資訊)學系,213,16,30 臺北市
國立政治大學,資訊管理(技術)學系,53,0,30 臺北市
國立政治大學,資訊管理(技術)學系,102,0,30 臺北市
國立政治大學,資訊管理(技術)學系,322,25,30 臺北市
國立政治大學,資訊科學學系,14,0,30 臺北市
國立政治大學,資訊科學學系,93,0,30 臺北市
國立政治大學,資訊科學學系,193,19,30 臺北市
國立政治大學,資訊科學學系,75,0,30 臺北市
國立清華大學,生物資訊與結構生物研究所,74,0,18 新竹市
國立清華大學,生物資訊與結構生物研究所,59,11,18 新竹市
國立清華大學,統計(科學)(資訊)學系,9,0,18 新竹市
國立清華大學,統計(科學)(資訊)學系,50,10,18 新竹市
國立清華大學,資訊系統與應用研究所,21,0,18 新竹市
國立清華大學,資訊系統與應用研究所,105,0,18 新竹市
國立清華大學,資訊工程學系,90,0,18 新竹市
國立清華大學,資訊工程學系,371,0,18 新竹市
國立清華大學,資訊工程學系,534,43,18 新竹市
國立清華大學,電機(資訊)學院,91,0,18 新竹市
國立臺灣大學,(數位)圖書資訊學系,20,0,30 臺北市
國立臺灣大學,(數位)圖書資訊學系,78,0,30 臺北市
國立臺灣大學,(數位)圖書資訊學系,201,14,30 臺北市
國立臺灣大學,(數位)圖書資訊學系,1,0,30 臺北市
國立臺灣大學,會計(與)(資訊)(科技)(系統)學系,30,0,30 臺北市
國立臺灣大學,會計(與)(資訊)(科技)(系統)學系,117,0,30 臺北市
國立臺灣大學,會計(與)(資訊)(科技)(系統)學系,515,25,30 臺北市
國立臺灣大學,統計(科學)(資訊)學系,9,0,30 臺北市
國立臺灣大學,資訊管理(技術)學系,35,0,30 臺北市
國立臺灣大學,資訊管理(技術)學系,109,0,30 臺北市
國立臺灣大學,資訊管理(技術)學系,202,16,30 臺北市
國立臺灣大學,資訊網路與多媒體研究所,57,0,30 臺北市
國立臺灣大學,資訊網路與多媒體研究所,101,9,30 臺北市
國立臺灣大學,資訊工程學系,141,0,30 臺北市
國立臺灣大學,資訊工程學系,302,0,30 臺北市
國立臺灣大學,資訊工程學系,500,32,30 臺北市
國立臺灣大學,資訊工程學系,18,0,30 臺北市
國立臺灣大學,生醫電子與資訊學研究所,89,0,30 臺北市
國立臺灣大學,生醫電子與資訊學研究所,96,8,30 臺北市
國立臺灣師範大學,資訊教育學系,24,0,30 臺北市
國立臺灣師範大學,資訊教育學系,47,6,30 臺北市
國立臺灣師範大學,資訊教育學系,1,0,30 臺北市
國立臺灣師範大學,(數位)圖書資訊學系,12,0,30 臺北市
國立臺灣師範大學,(數位)圖書資訊學系,59,7,30 臺北市
國立臺灣師範大學,(數位)圖書資訊學系,40,0,30 臺北市
國立臺灣師範大學,資訊工程學系,16,0,30 臺北市
國立臺灣師範大學,資訊工程學系,117,0,30 臺北市
國立臺灣師範大學,資訊工程學系,184,16,30 臺北市
國立成功大學,會計(與)(資訊)(科技)(系統)學系,15,0,21 臺南市
國立成功大學,會計(與)(資訊)(科技)(系統)學系,86,0,21 臺南市
國立成功大學,會計(與)(資訊)(科技)(系統)學系,276,14,21 臺南市
